page cache dropped before each query (6 tries: 1 cold + 5 hot)
QUERY_ONLY=1: load_time CARRIED OVER from /home/ubuntu/dbbench/logs/cedardb.loadtimes.tsv; this run loaded nothing
benchmarking CedarDB v2026-08-20 (reports PostgreSQL 16.3 compatible CedarDB v2026-08-20, compiled on 2026-08-20, x86_64 build)
=== tpch: not fully loaded; skipping its queries, load time and size ===
=== job: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
