page cache dropped before each query (6 tries: 1 cold + 5 hot)
=== CREATE job tables ===
=== LOAD job ===
=== ANALYZE job ===
statistics on job: 0s
loaded job in 68s, 3411554304 bytes
benchmarking DuckDB 1.5.5 (reports v1.5.5)
tpch: no database file at /home/ubuntu/dbbench/duckdb/.duckdb/db-tpch.duckdb
=== tpch: not fully loaded; skipping its queries, load time and size ===
tpcds: no database file at /home/ubuntu/dbbench/duckdb/.duckdb/db-tpcds.duckdb
=== tpcds: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: SKIPPED (not loaded); recording null
q24 [tpcds]: SKIPPED (not loaded); recording null
q25 [tpcds]: SKIPPED (not loaded); recording null
q26 [tpcds]: SKIPPED (not loaded); recording null
q27 [tpcds]: SKIPPED (not loaded); recording null
q28 [tpcds]: SKIPPED (not loaded); recording null
q29 [tpcds]: SKIPPED (not loaded); recording null
q30 [tpcds]: SKIPPED (not loaded); recording null
q31 [tpcds]: SKIPPED (not loaded); recording null
q32 [tpcds]: SKIPPED (not loaded); recording null
q33 [tpcds]: SKIPPED (not loaded); recording null
q34 [tpcds]: SKIPPED (not loaded); recording null
q35 [tpcds]: SKIPPED (not loaded); recording null
q36 [tpcds]: SKIPPED (not loaded); recording null
q37 [tpcds]: SKIPPED (not loaded); recording null
q38 [tpcds]: SKIPPED (not loaded); recording null
q39 [tpcds]: SKIPPED (not loaded); recording null
q40 [tpcds]: SKIPPED (not loaded); recording null
q41 [tpcds]: SKIPPED (not loaded); recording null
q42 [tpcds]: SKIPPED (not loaded); recording null
q43 [tpcds]: SKIPPED (not loaded); recording null
q44 [tpcds]: SKIPPED (not loaded); recording null
q45 [tpcds]: SKIPPED (not loaded); recording null
q46 [tpcds]: SKIPPED (not loaded); recording null
q47 [tpcds]: SKIPPED (not loaded); recording null
q48 [tpcds]: SKIPPED (not loaded); recording null
q49 [tpcds]: SKIPPED (not loaded); recording null
q50 [tpcds]: SKIPPED (not loaded); recording null
q51 [tpcds]: SKIPPED (not loaded); recording null
q52 [tpcds]: SKIPPED (not loaded); recording null
q53 [tpcds]: SKIPPED (not loaded); recording null
q54 [tpcds]: SKIPPED (not loaded); recording null
q55 [tpcds]: SKIPPED (not loaded); recording null
q56 [tpcds]: SKIPPED (not loaded); recording null
q57 [tpcds]: SKIPPED (not loaded); recording null
q58 [tpcds]: SKIPPED (not loaded); recording null
q59 [tpcds]: SKIPPED (not loaded); recording null
q60 [tpcds]: SKIPPED (not loaded); recording null
q61 [tpcds]: SKIPPED (not loaded); recording null
q62 [tpcds]: SKIPPED (not loaded); recording null
q63 [tpcds]: SKIPPED (not loaded); recording null
q64 [tpcds]: SKIPPED (not loaded); recording null
q65 [tpcds]: SKIPPED (not loaded); recording null
q66 [tpcds]: SKIPPED (not loaded); recording null
q67 [tpcds]: SKIPPED (not loaded); recording null
q68 [tpcds]: SKIPPED (not loaded); recording null
