page cache dropped before each query (6 tries: 1 cold + 5 hot)
=== CREATE job tables ===
=== LOAD job ===
=== ANALYZE job ===
statistics on job: 0s
loaded job in 68s, 3408670720 bytes
benchmarking DuckDB 1.5.5 (reports v1.5.5)
tpch: no database file at /home/ubuntu/ClickBench/joins-focus/duckdb/.duckdb/db-tpch.duckdb
=== tpch: not fully loaded; skipping its queries, load time and size ===
tpcds: no database file at /home/ubuntu/ClickBench/joins-focus/duckdb/.duckdb/db-tpcds.duckdb
=== tpcds: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: SKIPPED (not loaded); recording null
q24 [tpcds]: SKIPPED (not loaded); recording null
q25 [tpcds]: SKIPPED (not loaded); recording null
q26 [tpcds]: SKIPPED (not loaded); recording null
q27 [tpcds]: SKIPPED (not loaded); recording null
q28 [tpcds]: SKIPPED (not loaded); recording null
q29 [tpcds]: SKIPPED (not loaded); recording null
q30 [tpcds]: SKIPPED (not loaded); recording null
q31 [tpcds]: SKIPPED (not loaded); recording null
q32 [tpcds]: SKIPPED (not loaded); recording null
q33 [tpcds]: SKIPPED (not loaded); recording null
q34 [tpcds]: SKIPPED (not loaded); recording null
q35 [tpcds]: SKIPPED (not loaded); recording null
q36 [tpcds]: SKIPPED (not loaded); recording null
q37 [tpcds]: SKIPPED (not loaded); recording null
q38 [tpcds]: SKIPPED (not loaded); recording null
q39 [tpcds]: SKIPPED (not loaded); recording null
q40 [tpcds]: SKIPPED (not loaded); recording null
q41 [tpcds]: SKIPPED (not loaded); recording null
q42 [tpcds]: SKIPPED (not loaded); recording null
q43 [tpcds]: SKIPPED (not loaded); recording null
q44 [tpcds]: SKIPPED (not loaded); recording null
q45 [tpcds]: SKIPPED (not loaded); recording null
q46 [tpcds]: SKIPPED (not loaded); recording null
q47 [tpcds]: SKIPPED (not loaded); recording null
q48 [tpcds]: SKIPPED (not loaded); recording null
q49 [tpcds]: SKIPPED (not loaded); recording null
q50 [tpcds]: SKIPPED (not loaded); recording null
q51 [tpcds]: SKIPPED (not loaded); recording null
q52 [tpcds]: SKIPPED (not loaded); recording null
q53 [tpcds]: SKIPPED (not loaded); recording null
q54 [tpcds]: SKIPPED (not loaded); recording null
q55 [tpcds]: SKIPPED (not loaded); recording null
q56 [tpcds]: SKIPPED (not loaded); recording null
q57 [tpcds]: SKIPPED (not loaded); recording null
q58 [tpcds]: SKIPPED (not loaded); recording null
q59 [tpcds]: SKIPPED (not loaded); recording null
q60 [tpcds]: SKIPPED (not loaded); recording null
q61 [tpcds]: SKIPPED (not loaded); recording null
q62 [tpcds]: SKIPPED (not loaded); recording null
q63 [tpcds]: SKIPPED (not loaded); recording null
q64 [tpcds]: SKIPPED (not loaded); recording null
q65 [tpcds]: SKIPPED (not loaded); recording null
q66 [tpcds]: SKIPPED (not loaded); recording null
q67 [tpcds]: SKIPPED (not loaded); recording null
q68 [tpcds]: SKIPPED (not loaded); recording null
q69 [tpcds]: SKIPPED (not loaded); recording null
q70 [tpcds]: SKIPPED (not loaded); recording null
q71 [tpcds]: SKIPPED (not loaded); recording null
q72 [tpcds]: SKIPPED (not loaded); recording null
q73 [tpcds]: SKIPPED (not loaded); recording null
q74 [tpcds]: SKIPPED (not loaded); recording null
q75 [tpcds]: SKIPPED (not loaded); recording null
q76 [tpcds]: SKIPPED (not loaded); recording null
q77 [tpcds]: SKIPPED (not loaded); recording null
q78 [tpcds]: SKIPPED (not loaded); recording null
q79 [tpcds]: SKIPPED (not loaded); recording null
q80 [tpcds]: SKIPPED (not loaded); recording null
q81 [tpcds]: SKIPPED (not loaded); recording null
q82 [tpcds]: SKIPPED (not loaded); recording null
q83 [tpcds]: SKIPPED (not loaded); recording null
q84 [tpcds]: SKIPPED (not loaded); recording null
q85 [tpcds]: SKIPPED (not loaded); recording null
q86 [tpcds]: SKIPPED (not loaded); recording null
q87 [tpcds]: SKIPPED (not loaded); recording null
q88 [tpcds]: SKIPPED (not loaded); recording null
q89 [tpcds]: SKIPPED (not loaded); recording null
q90 [tpcds]: SKIPPED (not loaded); recording null
q91 [tpcds]: SKIPPED (not loaded); recording null
q92 [tpcds]: SKIPPED (not loaded); recording null
q93 [tpcds]: SKIPPED (not loaded); recording null
q94 [tpcds]: SKIPPED (not loaded); recording null
q95 [tpcds]: SKIPPED (not loaded); recording null
q96 [tpcds]: SKIPPED (not loaded); recording null
q97 [tpcds]: SKIPPED (not loaded); recording null
q98 [tpcds]: SKIPPED (not loaded); recording null
q99 [tpcds]: SKIPPED (not loaded); recording null
q100 [tpcds]: SKIPPED (not loaded); recording null
q101 [tpcds]: SKIPPED (not loaded); recording null
q102 [tpcds]: SKIPPED (not loaded); recording null
q103 [tpcds]: SKIPPED (not loaded); recording null
q104 [tpcds]: SKIPPED (not loaded); recording null
q105 [tpcds]: SKIPPED (not loaded); recording null
q106 [tpcds]: SKIPPED (not loaded); recording null
q107 [tpcds]: SKIPPED (not loaded); recording null
q108 [tpcds]: SKIPPED (not loaded); recording null
q109 [tpcds]: SKIPPED (not loaded); recording null
q110 [tpcds]: SKIPPED (not loaded); recording null
q111 [tpcds]: SKIPPED (not loaded); recording null
q112 [tpcds]: SKIPPED (not loaded); recording null
q113 [tpcds]: SKIPPED (not loaded); recording null
q114 [tpcds]: SKIPPED (not loaded); recording null
q115 [tpcds]: SKIPPED (not loaded); recording null
q116 [tpcds]: SKIPPED (not loaded); recording null
q117 [tpcds]: SKIPPED (not loaded); recording null
q118 [tpcds]: SKIPPED (not loaded); recording null
q119 [tpcds]: SKIPPED (not loaded); recording null
q120 [tpcds]: SKIPPED (not loaded); recording null
q121 [tpcds]: SKIPPED (not loaded); recording null
q122 [tpcds]: SKIPPED (not loaded); recording null
q123 [tpcds]: SKIPPED (not loaded); recording null
q124 [tpcds]: SKIPPED (not loaded); recording null
q125 [tpcds]: SKIPPED (not loaded); recording null
q126 [job]: [0.110, 0.008, 0.008, 0.008, 0.008, 0.007]
q127 [job]: [0.113, 0.007, 0.006, 0.007, 0.006, 0.007]
q128 [job]: [0.110, 0.008, 0.007, 0.007, 0.006, 0.007]
q129 [job]: [0.108, 0.007, 0.008, 0.007, 0.007, 0.007]
q130 [job]: [0.157, 0.020, 0.016, 0.017, 0.016, 0.016]
q131 [job]: [0.164, 0.019, 0.016, 0.017, 0.015, 0.016]
q132 [job]: [0.132, 0.021, 0.016, 0.014, 0.014, 0.014]
q133 [job]: [0.177, 0.024, 0.022, 0.023, 0.021, 0.023]
q134 [job]: [3.830, 0.055, 0.047, 0.045, 0.047, 0.046]
q135 [job]: [4.237, 0.025, 0.024, 0.024, 0.022, 0.021]
q136 [job]: [4.411, 0.032, 0.032, 0.031, 0.031, 0.030]
q137 [job]: [0.222, 0.081, 0.055, 0.081, 0.052, 0.050]
q138 [job]: [0.153, 0.012, 0.011, 0.011, 0.011, 0.010]
q139 [job]: [0.229, 0.080, 0.067, 0.064, 0.063, 0.065]
q140 [job]: [4.036, 0.049, 0.047, 0.048, 0.047, 0.047]
q141 [job]: [4.363, 0.026, 0.026, 0.025, 0.025, 0.025]
q142 [job]: [4.033, 0.038, 0.035, 0.032, 0.034, 0.033]
q143 [job]: [1.532, 0.023, 0.023, 0.022, 0.022, 0.021]
q144 [job]: [0.348, 0.014, 0.013, 0.014, 0.013, 0.013]
q145 [job]: [1.338, 0.019, 0.019, 0.018, 0.019, 0.018]
q146 [job]: [0.539, 0.023, 0.022, 0.022, 0.021, 0.021]
q147 [job]: [1.665, 0.025, 0.025, 0.024, 0.025, 0.024]
q148 [job]: [1.777, 0.054, 0.048, 0.057, 0.047, 0.049]
q149 [job]: [0.676, 0.041, 0.022, 0.019, 0.020, 0.019]
q150 [job]: [0.192, 0.014, 0.014, 0.013, 0.013, 0.014]
q151 [job]: [3.050, 0.322, 0.351, 0.300, 0.280, 0.311]
q152 [job]: [0.253, 0.023, 0.022, 0.022, 0.020, 0.021]
q153 [job]: [0.395, 0.022, 0.019, 0.019, 0.018, 0.018]
q154 [job]: [0.354, 0.122, 0.116, 0.112, 0.122, 0.126]
q155 [job]: [0.255, 0.077, 0.077, 0.068, 0.072, 0.064]
q156 [job]: [0.706, 0.064, 0.059, 0.057, 0.058, 0.058]
q157 [job]: [0.802, 0.040, 0.037, 0.038, 0.036, 0.036]
q158 [job]: [1.036, 0.062, 0.059, 0.058, 0.057, 0.054]
q159 [job]: [0.964, 0.113, 0.110, 0.111, 0.110, 0.105]
q160 [job]: [0.646, 0.018, 0.017, 0.017, 0.016, 0.017]
q161 [job]: [0.848, 0.017, 0.015, 0.015, 0.015, 0.014]
q162 [job]: [1.919, 0.066, 0.066, 0.064, 0.059, 0.061]
q163 [job]: [0.140, 0.015, 0.014, 0.014, 0.014, 0.013]
q164 [job]: [0.127, 0.013, 0.012, 0.012, 0.012, 0.011]
q165 [job]: [0.278, 0.148, 0.146, 0.150, 0.144, 0.148]
q166 [job]: [0.568, 0.407, 0.408, 0.400, 0.412, 0.300]
q167 [job]: [0.188, 0.016, 0.015, 0.017, 0.016, 0.013]
q168 [job]: [0.191, 0.022, 0.021, 0.022, 0.022, 0.021]
q169 [job]: [0.157, 0.024, 0.022, 0.023, 0.024, 0.021]
q170 [job]: [0.148, 0.020, 0.019, 0.018, 0.019, 0.017]
q171 [job]: [0.179, 0.034, 0.033, 0.031, 0.032, 0.030]
q172 [job]: [0.203, 0.031, 0.029, 0.032, 0.029, 0.030]
