page cache dropped before each query (6 tries: 1 cold + 5 hot)
starting Firebolt 4.31.13 (ghcr.io/firebolt-db/firebolt-core:4.31.13-0.20260424104720.5698ca5339fc)
Firebolt up (4.31.13-0.20260424104720.5698ca5339fc)
STATISTICS=1: per-column ALTER ... ADD STATISTICS after each load (see stats/)
=== CREATE job tables ===
=== LOAD job ===
=== ADD STATISTICS job (108 statements) ===
statistics on job: 12s
loaded job in 36s
benchmarking Firebolt 4.31.13 (reports 4.31.13-0.20260424104720.5698ca5339fc)
=== tpch: not fully loaded; skipping its queries, load time and size ===
=== tpcds: not fully loaded; skipping its queries, load time and size ===
q1 [tpch]: SKIPPED (not loaded); recording null
q2 [tpch]: SKIPPED (not loaded); recording null
q3 [tpch]: SKIPPED (not loaded); recording null
q4 [tpch]: SKIPPED (not loaded); recording null
q5 [tpch]: SKIPPED (not loaded); recording null
q6 [tpch]: SKIPPED (not loaded); recording null
q7 [tpch]: SKIPPED (not loaded); recording null
q8 [tpch]: SKIPPED (not loaded); recording null
q9 [tpch]: SKIPPED (not loaded); recording null
q10 [tpch]: SKIPPED (not loaded); recording null
q11 [tpch]: SKIPPED (not loaded); recording null
q12 [tpch]: SKIPPED (not loaded); recording null
q13 [tpch]: SKIPPED (not loaded); recording null
q14 [tpch]: SKIPPED (not loaded); recording null
q15 [tpch]: SKIPPED (not loaded); recording null
q16 [tpch]: SKIPPED (not loaded); recording null
q17 [tpch]: SKIPPED (not loaded); recording null
q18 [tpch]: SKIPPED (not loaded); recording null
q19 [tpch]: SKIPPED (not loaded); recording null
q20 [tpch]: SKIPPED (not loaded); recording null
q21 [tpch]: SKIPPED (not loaded); recording null
q22 [tpch]: SKIPPED (not loaded); recording null
q23 [tpcds]: SKIPPED (not loaded); recording null
q24 [tpcds]: SKIPPED (not loaded); recording null
q25 [tpcds]: SKIPPED (not loaded); recording null
q26 [tpcds]: SKIPPED (not loaded); recording null
q27 [tpcds]: SKIPPED (not loaded); recording null
q28 [tpcds]: SKIPPED (not loaded); recording null
q29 [tpcds]: SKIPPED (not loaded); recording null
q30 [tpcds]: SKIPPED (not loaded); recording null
q31 [tpcds]: SKIPPED (not loaded); recording null
q32 [tpcds]: SKIPPED (not loaded); recording null
q33 [tpcds]: SKIPPED (not loaded); recording null
q34 [tpcds]: SKIPPED (not loaded); recording null
q35 [tpcds]: SKIPPED (not loaded); recording null
q36 [tpcds]: SKIPPED (not loaded); recording null
q37 [tpcds]: SKIPPED (not loaded); recording null
q38 [tpcds]: SKIPPED (not loaded); recording null
q39 [tpcds]: SKIPPED (not loaded); recording null
q40 [tpcds]: SKIPPED (not loaded); recording null
q41 [tpcds]: SKIPPED (not loaded); recording null
q42 [tpcds]: SKIPPED (not loaded); recording null
q43 [tpcds]: SKIPPED (not loaded); recording null
q44 [tpcds]: SKIPPED (not loaded); recording null
q45 [tpcds]: SKIPPED (not loaded); recording null
q46 [tpcds]: SKIPPED (not loaded); recording null
q47 [tpcds]: SKIPPED (not loaded); recording null
q48 [tpcds]: SKIPPED (not loaded); recording null
