Creating table time: 236 ms
Query 0 | Time: 18325 ms
Query 1 | Time: 414 ms
Query 2 | Time: 378 ms
Query 3 | Time: 240 ms
Query 4 | Time: 2384 ms
Query 5 | Time: 1577 ms
Query 6 | Time: 246 ms
Query 7 | Time: 988 ms
Query 8 | Time: 2020 ms
Query 9 | Time: 2689 ms
Query 10 | Time: 3097 ms
Query 11 | Time: 2011 ms
Query 12 | Time: 950 ms
Query 13 | Time: 1424 ms
Query 14 | Time: 715 ms
Query 15 | Time: 832 ms
Query 16 | Time: 849 ms
Query 17 | Time: 773 ms
Query 18 | Time: 1053 ms
Query 19 | Time: 143 ms
Query 20 | Time: 149 ms
Query 21 | Time: 854 ms
Query 22 | Time: 1877 ms
Query 23 | Time: 554 ms
Query 24 | Time: 216 ms
Query 25 | Time: 154 ms
Query 26 | Time: 161 ms
Query 27 | Time: 1060 ms
Query 28 | Time: 992 ms
Query 29 | Time: 642 ms
Query 30 | Time: 1096 ms
Query 31 | Time: 981 ms
Query 32 | Time: 1099 ms
Query 33 | Time: 1055 ms
Query 34 | Time: 822 ms
Query 35 | Time: 692 ms
Query 36 | Time: 929 ms
Query 37 | Time: 855 ms
Query 38 | Time: 790 ms
Query 39 | Time: 800 ms
Query 40 | Time: 704 ms
Query 41 | Time: 814 ms
Query 42 | Time: 923 ms
