2.5.4	starrocks/allin1-ubuntu:2.5.4	2023-04-06
2.5.5	starrocks/allin1-ubuntu:2.5.5	2023-05-04
2.5.6	starrocks/allin1-ubuntu:2.5.6	2023-05-24
2.5.7	starrocks/allin1-ubuntu:2.5.7	2023-06-14
2.5.8	starrocks/allin1-ubuntu:2.5.8	2023-07-04
2.5.9	starrocks/allin1-ubuntu:2.5.9	2023-07-20
2.5.10	starrocks/allin1-ubuntu:2.5.10	2023-08-10
2.5.11	starrocks/allin1-ubuntu:2.5.11	2023-08-28
2.5.12	starrocks/allin1-ubuntu:2.5.12	2023-09-12
2.5.13	starrocks/allin1-ubuntu:2.5.13	2023-10-18
2.5.14	starrocks/allin1-ubuntu:2.5.14	2023-11-20
2.5.15	starrocks/allin1-ubuntu:2.5.15	2023-12-13
2.5.16	starrocks/allin1-ubuntu:2.5.16	2023-12-13
2.5.17	starrocks/allin1-ubuntu:2.5.17	2023-12-20
2.5.18	starrocks/allin1-ubuntu:2.5.18	2024-01-14
2.5.19	starrocks/allin1-ubuntu:2.5.19	2024-02-18
2.5.20	starrocks/allin1-ubuntu:2.5.20	2024-03-22
2.5.21	starrocks/allin1-ubuntu:2.5.21	2024-05-15
3.0.0	starrocks/allin1-ubuntu:3.0.0	2023-05-17
3.0.1	starrocks/allin1-ubuntu:3.0.1	2023-06-02
3.0.2	starrocks/allin1-ubuntu:3.0.2	2023-06-14
3.0.3	starrocks/allin1-ubuntu:3.0.3	2023-07-04
3.0.4	starrocks/allin1-ubuntu:3.0.4	2023-07-19
3.0.5	starrocks/allin1-ubuntu:3.0.5	2023-08-22
3.0.6	starrocks/allin1-ubuntu:3.0.6	2023-09-07
3.0.7	starrocks/allin1-ubuntu:3.0.7	2023-10-21
3.0.8	starrocks/allin1-ubuntu:3.0.8	2023-11-17
3.0.9	starrocks/allin1-ubuntu:3.0.9	2024-01-03
3.1.0	starrocks/allin1-ubuntu:3.1.0	2023-08-08
3.1.1	starrocks/allin1-ubuntu:3.1.1	2023-08-22
3.1.2	starrocks/allin1-ubuntu:3.1.2	2023-09-12
3.1.3	starrocks/allin1-ubuntu:3.1.3	2023-09-25
3.1.4	starrocks/allin1-ubuntu:3.1.4	2023-11-06
3.1.5	starrocks/allin1-ubuntu:3.1.5	2023-12-13
3.1.6	starrocks/allin1-ubuntu:3.1.6	2023-12-20
3.1.7	starrocks/allin1-ubuntu:3.1.7	2024-01-14
3.1.8	starrocks/allin1-ubuntu:3.1.8	2024-02-06
